Batting,,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Game_num
Cedric Mullins CF,Apr 8,4,0,1,0,0,3,5,0.25,0.4,0.25,0.65,17,10,-0.054,1.29,0.073,-0.13%,-0.03%,1.27,0,1,0,HBP,1
Ryan Mountcastle 1B,Apr 8,4,0,1,0,0,1,4,0.25,0.25,0.25,0.5,9,8,-0.052,1.51,0.057,-0.11%,-0.03%,1.48,-0.1,5,1,,1
Trey Mancini DH,Apr 8,4,0,1,0,0,2,4,0.25,0.25,0.5,0.75,21,13,0.019,1.3,0.092,-0.07%,0.01%,1.28,-0.2,,,2B,1
Austin Hays RF,Apr 8,3,0,0,0,1,2,4,0,0.25,0,0.25,15,9,-0.086,1.62,0.032,-0.12%,-0.05%,1.59,-0.3,1,0,,1
Anthony Santander LF,Apr 8,3,1,1,1,1,1,4,0.333,0.5,1.333,1.833,18,12,0.087,1.91,0.19,-0.10%,0.05%,1.88,0.1,3,0,HR,1
Ramon Urias 2B,Apr 8,4,0,1,0,0,0,4,0.25,0.25,0.5,0.75,16,11,-0.128,2.06,0.054,-0.18%,-0.08%,2.02,-0.9,0,3,2B,1
Jorge Mateo SS,Apr 8,3,0,1,0,1,1,4,0.333,0.5,0.333,0.833,17,9,-0.019,1.5,0.066,-0.08%,-0.01%,1.47,0.3,3,0,,1
Robinson Chirinos C,Apr 8,3,0,0,0,0,2,3,0,0,0,0,13,9,-0.186,1.92,0,-0.19%,-0.11%,1.89,-1.4,10,0,GDP,1
Kelvin Gutierrez 3B,Apr 8,3,0,0,0,0,2,3,0,0,0,0,14,9,-0.076,1.21,0,-0.08%,-0.04%,1.19,-0.5,0,3,,1
Cedric Mullins CF,Apr 9,4,0,0,0,0,2,4,0.125,0.222,0.125,0.347,16,10,-0.086,0.84,0,-0.09%,-0.05%,0.78,-0.9,2,0,,1
Ryan Mountcastle 1B,Apr 9,4,1,2,2,0,0,4,0.375,0.375,0.75,1.125,7,5,0.164,0.58,0.187,-0.02%,0.09%,0.54,1.8,8,0,HR,1
Anthony Santander LF,Apr 9,3,0,2,0,0,0,4,0.5,0.625,1,1.625,15,10,0.041,0.69,0.066,-0.03%,0.02%,0.64,0.3,3,0,HBP,1
Trey Mancini DH,Apr 9,4,0,1,0,0,1,4,0.25,0.25,0.375,0.625,18,13,-0.049,0.97,0.024,-0.07%,-0.03%,0.9,-0.6,,,,1
Ramon Urias 3B,Apr 9,4,1,2,0,0,1,4,0.375,0.375,0.625,1,15,9,0.011,1.19,0.083,-0.07%,0.01%,1.1,0.4,0,3,2B,1
Austin Hays RF,Apr 9,4,0,0,0,0,0,4,0,0.125,0,0.125,12,8,-0.158,1.26,0,-0.16%,-0.09%,1.17,-1.6,2,0,GDP,1
Rougned Odor 2B,Apr 9,4,0,0,0,0,2,4,0.2,0.2,0.2,0.4,13,11,-0.069,0.68,0,-0.07%,-0.04%,0.63,-0.8,2,2,,1
Jorge Mateo SS,Apr 9,3,1,1,1,1,1,4,0.333,0.5,0.5,1,13,8,0.051,0.63,0.071,-0.02%,0.03%,0.58,1.3,2,5,"2B,SB",1
Robinson Chirinos C,Apr 9,3,0,0,0,0,2,3,0,0,0,0,11,8,-0.06,0.87,0,-0.06%,-0.03%,0.81,-0.6,5,0,,1
